# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	COGID	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	EDITID	INFERRED_CLASS
#
1	0	I	I	aɪ	English	1	aɪ	7	X	A	4	4.A.V	1.5	0	1	I:1
2	0	I	ma͠i	mɛː	Hindi	41	m ɛː	4 7	AX	ME	6	6.M.C 6.E.V	2.0 1.5	0	1	I:1
3	0	I	ma͠i	mɛː	Urdu	41	m ɛː	4 7	AX	ME	15	15.M.C 15.E.V	2.0 1.5	0	1	I:1
4	0	I	ma	mə	Nepali	41	m ə	4 7	AX	ME	9	9.M.C 9.E.V	2.0 1.5	0	1	I:1
5	0	I	maĩ	mɛː	Punjabi	41	m ɛː	4 7	AX	ME	11	11.M.C 11.E.V	2.0 1.5	0	1	I:1
6	0	I	āū̃	maːna	Sindhi	41	m aː n a	4 7 4 7	AXBZ	MANA	13	13.M.C 13.A.V 13.N.C 13.A.V	2.0 1.5 1.75 0.8	0	1	I:1
7	0	I	hũ	None	Gujarati	41	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	0	1	I:1
8	0	I	mī	amʱi	Marathi	41	a mʱ i	7 4 7	XBZ	AMI	8	8.A.V 8.M.C 8.I.V	1.5 1.75 0.8	0	1	I:1
9	0	I	hā̃v	ɦɑːʋ	Konkani	41	ɦ ɑː ʋ	3 7 6	AXN	HAW	7	7.H.C 7.A.V 7.W.c	2.0 1.5 0.8	0	1	I:1
10	0	I	moi	mɔɪ	Assamese	41	m ɔɪ	4 7	AX	MU	1	1.M.C 1.U.V	2.0 1.5	0	1	I:1
11	0	I	ami	ami	Bengali	41	a m i	7 4 7	XBZ	AMI	2	2.A.V 2.M.C 2.I.V	1.5 1.75 0.8	0	1	I:1
12	0	I	mum̐	mũ	Oriya	41	m ũ	4 7	AX	MY	10	10.M.C 10.Y.V	2.0 1.5	0	1	I:1
13	0	I	mama	None	Sinhalese	41	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	0	1	I:1
14	0	I	aharen̊‎	None	Dhivehi	41	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	0	1	I:1
15	0	I	me	miː	Romani	41	m iː	4 7	AX	MI	12	12.M.C 12.I.V	2.0 1.5	0	1	I:1
#
121	8	all	all	ɔːl	English	21	ɔː l	7 5	XN	UL	4	4.U.V 4.L.c	1.5 0.8	0	2	all:2
122	8	all	sab	None	Hindi	1	N o n e	0 7 4 7	AXBZ	0UNE	6	6.0.C 6.U.V 6.N.C 6.E.V	2.0 1.5 1.75 0.8	0	2	all:2
123	8	all	sab	None	Urdu	1	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	1	2	all:2
124	8	all	sabai	None	Nepali	1	N o n e	0 7 4 7	AXBZ	0UNE	9	9.0.C 9.U.V 9.N.C 9.E.V	2.0 1.5 1.75 0.8	1	2	all:2
125	8	all	sārā	None	Punjabi	1	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	2	all:2
126	8	all	sabhu	None	Sindhi	1	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	2	all:2
127	8	all	badhũ	None	Gujarati	1	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	1	2	all:2
128	8	all	sagḷe	None	Marathi	270	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	0	2	all:2
129	8	all	sagḷe	səɡɭe	Konkani	270	s ə ɡ ɭ e	3 7 1 5 7	AXBCZ	SEKLE	7	7.S.C 7.E.V 7.K.C 7.L.C 7.E.V	2.0 1.5 1.75 1.5 0.8	0	2	all:2
130	8	all	atai	xɔkɔlʊ	Assamese	1	x ɔ k ɔ l ʊ	3 7 1 7 5 7	AXBYBZ	GUKULY	1	1.G.C 1.U.V 1.K.C 1.U.V 1.L.C 1.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	2	all:2
131	8	all	śôb	ʃɔb	Bengali	1	ʃ ɔ b	3 7 1	AXN	SUP	2	2.S.C 2.U.V 2.P.c	2.0 1.5 0.8	0	2	all:2
132	8	all	sôbu	None	Oriya	1	N o n e	0 7 4 7	AXBZ	0UNE	10	10.0.C 10.U.V 10.N.C 10.E.V	2.0 1.5 1.75 0.8	1	2	all:2
133	8	all	hæma	None	Sinhalese	270	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	2	all:2
134	8	all	hurihā	None	Dhivehi	174	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	2	all:2
135	8	all	sa	sa	Romani	1	s a	3 7	AX	SA	12	12.S.C 12.A.V	2.0 1.5	0	2	all:2
#
916	61	ash	ash	æʃ	English	52	æ ʃ	7 3	XN	ES	4	4.E.V 4.S.c	1.5 0.8	0	3	ash:3
917	61	ash	rākh	ɾɑːkʰ	Hindi	3	ɾ ɑː kʰ	5 7 1	AXN	RAK	6	6.R.C 6.A.V 6.K.c	2.0 1.5 0.8	0	3	ash:3
918	61	ash	rākh	ɾɑːkʰ	Urdu	1	ɾ ɑː kʰ	5 7 1	AXN	RAK	15	15.R.C 15.A.V 15.K.c	2.0 1.5 0.8	0	3	ash:3
919	61	ash	kharānī	kʰʌɾäni	Nepali	140	kʰ ʌ ɾ ä n i	1 7 5 7 4 7	AXBYBZ	KERANI	9	9.K.C 9.E.V 9.R.C 9.A.V 9.N.C 9.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	3	ash:3
920	61	ash	suāha	None	Punjabi	111	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	3	ash:3
921	61	ash	chāī	None	Sindhi	3	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	3	ash:3
922	61	ash	rākh	None	Gujarati	3	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	1	3	ash:3
923	61	ash	rākh	ɾɑːkʰ	Marathi	3	ɾ ɑː kʰ	5 7 1	AXN	RAK	8	8.R.C 8.A.V 8.K.c	2.0 1.5 0.8	0	3	ash:3
924	61	ash	rākh	ɾɑːkʰ	Konkani	606	ɾ ɑː kʰ	5 7 1	AXN	RAK	7	7.R.C 7.A.V 7.K.c	2.0 1.5 0.8	0	3	ash:3
925	61	ash	sai	saɪ	Assamese	152	s aɪ	3 7	AX	SA	1	1.S.C 1.A.V	2.0 1.5	0	3	ash:3
926	61	ash	chai	saɪ	Bengali	152	s aɪ	3 7	AX	SA	2	2.S.C 2.A.V	2.0 1.5	0	3	ash:3
927	61	ash	paum̐śô	None	Oriya	567	N o n e	0 7 4 7	AXBZ	0UNE	10	10.0.C 10.U.V 10.N.C 10.E.V	2.0 1.5 1.75 0.8	1	3	ash:3
928	61	ash	mārga	None	Sinhalese	382	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	3	ash:3
929	61	ash	alhu	None	Dhivehi	382	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	3	ash:3
930	61	ash	ushar	None	Romani	140	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	3	ash:3
#
